Dress_CODE,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation
100781,Casual,Average,4.5,L,Summer,o-neck,short,natural,cotton,jersey,pockets,solid,0
100785,Sexy,Low,0,L,Summer,o-neck,sleevless,empire,sill,null,null,striped,0
100786,bohemian,Average,4,free,Winter,o-neck,sleevless,natural,polyster,chiffon,ruffles,striped,0
100787,Casual,low,4.7,free,Summer,o-neck,full,natural,cotton,null,null,solid,1
100788,work,Average,0,M,Summer,v-neck,sleevless,natural,cotton,worsted,null,solid,1
100790,Casual,Average,0,M,Spring,o-neck,halfsleeve,natural,null,null,lace,null,0
100791,Brief,Low,4.6,M,Summer,o-neck,short,natural,cotton,null,null,animal,0
100792,cute,Low,0,free,Spring,v-neck,sleevless,empire,chiffonfabric,chiffon,null,null,1
100793,Casual,Average,5,M,Spring,o-neck,thressqatar,null,spandex,null,null,null,0
100794,Casual,Low,5,free,winter,o-neck,full,natural,wool,null,applique,solid,0
100795,vintage,Average,4.5,L,winter,o-neck,short,empire,null,null,sequined,patchwork,1
100796,Casual,Average,4.5,free,Summer,o-neck,short,natural,polyster,null,null,solid,0
100797,bohemian,Low,4.4,L,Summer,bowneck,short,natural,cotton,null,null,dot,0
100798,Casual,high,0,L,winter,v-neck,thressqatar,natural,polyster,null,ruffles,solid,1
100799,Casual,Average,4.8,free,winter,o-neck,sleevless,null,polyster,null,sashes,solid,0
100800,Brief,Low,4.7,M,Winter,o-neck,full,natural,cotton,null,null,patchwork,0
100801,Casual,Medium,0,free,Winter,bowneck,full,null,cashmere,knitted,null,solid,1
100802,Casual,Average,4.7,M,Winter,o-neck,short,empire,polyster,shiffon,null,animal,0
100803,party,Average,0,M,Summer,o-neck,full,natural,cotton,null,null,patchwork,1
100804,bohemian,Average,4.8,S,Summer,v-neck,short,natural,cotton,null,null,solid,0
100805,Sexy,Average,4.9,free,Summer,sqare-collor,sleevless,natural,polyster,null,sashes,print,0
100806,Casual,Average,3,M,Spring,turndowncollor,short,empire,polyster,null,sashes,patchwork,0
100807,Casual,low,4.7,L,Automn,o-neck,short,natural,polyster,shiffon,null,patchwork,1
100808,Casual,Average,4.3,M,Automn,o-neck,sleevless,natural,polyster,null,plain,solid,0
100809,Casual,Average,0,XL,Winter,v-neck,short,empire,polyster,shiffon,pockets,solid,1
100810,Casual,Low,5,free,Summer,o-neck,sleevless,natural,model,jersey,plain,solid,1
100812,Casual,Low,4.7,free,winter,o-neck,sleevless,natural,milksilk,null,null,animal,0
100813,vintage,Average,5,M,Summer,v-neck,thressqatar,natural,polyster,null,null,print,0
100814,Casual,Low,4.7,L,Summer,o-neck,full,natural,mix,worsted,lace,patchwork,1
100815,bohemian,Average,4.6,M,Spring,o-neck,sleevless,natural,shiffon,shiffon,sashes,solid,0
100816,party,Average,4.8,M,Summer,o-neck,full,null,cotton,null,null,solid,1
100817,bohemian,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid,0
100819,cute,Low,4.8,M,Spring,o-neck,short,natural,shiffon,shiffon,bow,dot,1
100820,vintage,Average,0,M,Spring,o-neck,halfsleeve,empire,polyster,null,lace,animal,0
100821,Casual,Medium,4.9,L,Winter,o-neck,short,natural,cotton,broadcloth,sashes,solid,0
100823,Casual,Average,4.9,M,Summer,o-neck,short,dropped,cotton,null,ruffles,patchwork,0
100825,Casual,Average,4.7,M,Summer,o-neck,sleevless,null,cotton,null,null,dot,0
100828,Sexy,Medium,0,free,winter,o-neck,sleevless,natural,polyster,null,sequined,solid,0
100829,Sexy,low,4.4,free,Automn,v-neck,sleevless,natural,cotton,worsted,lace,solid,0
100830,Sexy,Average,0,free,Spring,v-neck,full,natural,cotton,wollen,lace,solid,1
100831,Brief,Average,4.9,XL,Spring,slash-neck,full,natural,null,null,sashes,solid,0
100832,Casual,Average,4.7,XL,Summer,v-neck,halfsleeve,natural,null,broadcloth,null,print,1
100833,Casual,Average,0,free,Automn,v-neck,full,natural,cotton,null,lace,solid,0
100836,party,Average,4.7,M,Spring,o-neck,halfsleeve,empire,null,shiffon,null,patchwork,0
100839,Casual,Low,4.6,free,Autumn,o-neck,full,natural,rayon,null,lace,solid,1
100840,Sexy,Low,4.5,free,Summer,o-neck,sleevless,empire,cotton,null,sashes,solid,1
100841,Sexy,Low,0,free,winter,v-neck,NULL,dropped,cotton,null,lace,null,1
100842,Casual,Average,0,XL,Spring,bowneck,sleevless,natural,mix,null,lace,solid,0
100843,Sexy,Average,0,free,Autumn,o-neck,full,natural,polyster,sattin,hollowout,solid,0
100844,Sexy,Low,4.8,free,Spring,v-neck,sleevless,natural,null,null,null,striped,1
100845,Brief,Low,4.7,free,Autumn,o-neck,sleevless,natural,null,shiffon,sequined,solid,0
100846,Sexy,high,5,M,Summer,v-neck,sleevless,natural,mix,null,null,striped,0
100847,Casual,Average,4.6,L,Summer,bowneck,full,dropped,cotton,null,null,patchwork,0
100848,cute,Medium,4.9,S,Summer,bowneck,sleevless,empire,null,null,bow,patchwork,1
100849,Novelty,Average,4.9,M,Autumn,o-neck,short,natural,polyster,chiffon,none,print,0
100850,Casual,Low,4.3,free,Spring,o-neck,full,null,null,chiffon,sashes,none,1
100851,Casual,Low,4.7,S,Autumn,o-neck,sleevless,natural,cotton,null,null,solid,0
100852,Casual,Average,4.8,L,Autumn,boat-neck,sleevless,natural,null,null,sashes,solid,0
100853,cute,Average,4.5,L,winter,v-neck,sleevless,natural,polyster,jersey,sashes,solid,1
100854,Casual,Average,4.4,free,Summer,o-neck,capsleeves,natural,cotton,null,null,solid,0
100855,party,Average,0,M,Spring,o-neck,sleevless,null,null,chiffon,null,solid,1
100858,work,Average,5,M,Summer,o-neck,sleveless,natural,null,null,null,solid,1
100859,Novelty,Average,5,free,Summer,o-neck,sleeveless,natural,null,null,null,print,0
100860,Casual,Low,4.6,free,Spring,v-neck,sleevless,natural,silk,chiffon,draped,solid,0
100861,Casual,Average,4.5,M,Summer,o-neck,full,natural,cotton,null,lace,solid,0
100862,Casual,Average,4.5,L,Spring,boat-neck,thressqatar,natural,null,dobby,lace,animal,1
100864,cute,Low,0,M,Summer,boat-neck,short,null,null,chiffon,sashes,null,0
100866,Casual,Average,4.8,M,Summer,o-neck,halfsleeve,null,null,null,null,null,0
100867,Casual,Low,4.4,L,Summer,o-neck,sleevless,natural,cotton,chiffon,null,solid,0
100869,cute,Average,4.7,L,Summer,o-neck,sleevless,natural,polyster,broadcloth,lace,solid,0
100870,Sexy,Average,0,S,Summer,v-neck,sleevless,null,null,null,null,null,1
100872,cute,high,4.3,M,Spring,boat-neck,full,natural,polyster,terry,lace,solid,1
100873,work,Average,4.8,M,winter,turndowncollor,full,natural,null,null,null,solid,0
100874,Casual,Average,4.6,M,Spring,o-neck,halfsleeve,natural,polyster,null,lace,solid,0
100875,Sexy,Low,0,free,Summer,v-neck,sleevless,empire,cotton,null,null,solid,0
100876,Casual,high,4.9,XL,winter,v-neck,full,empire,cotton,null,sequined,solid,0
100877,Sexy,Low,0,free,winter,o-neck,sleevless,natural,lycra,chiffon,hollowout,solid,0
100878,cute,Average,5,M,Autumn,v-neck,sleevless,natural,cotton,null,null,solid,0
100879,cute,Low,0,free,Spring,v-neck,sleevless,natural,silk,worsted,lace,patchwork,1
100881,Casual,Average,0,L,Spring,o-neck,sleevless,natural,chiffonfabric,chiffon,sequined,solid,0
100882,cute,Average,4.7,M,Spring,o-neck,full,natural,rayon,chiffon,beading,solid,1
100883,Casual,Average,4.6,M,winter,v-neck,halfsleeve,natural,silk,chiffon,sashes,solid,1
100884,Casual,Low,4.4,free,Summer,o-neck,full,natural,cotton,null,null,solid,1
100886,Casual,Average,0,free,winter,o-neck,short,natural,polyster,chiffon,cascading,solid,0
100887,Sexy,Average,0,free,winter,slash-neck,sleevless,natural,cotton,broadcloth,sequined,solid,1
100888,Casual,Low,4.4,M,Summer,o-neck,halfsleeve,empire,chiffonfabric,chiffon,bow,solid,0
100889,cute,Average,0,L,Summer,o-neck,sleevless,empire,cotton,null,lace,solid,1
100890,Casual,Low,4.8,free,winter,bowneck,full,natural,polyster,chiffon,bow,solid,0
100891,Casual,Average,5,L,Summer,o-neck,sleevless,natural,cotton,null,null,null,1
100892,cute,Average,4.6,M,Spring,o-neck,halfsleeve,natural,acrylic,chiffon,null,null,0
100893,bohemian,Low,4.6,free,Summer,o-neck,sleevless,natural,cotton,chiffon,none,solid,1
100894,Brief,Average,4.7,M,winter,o-neck,halfsleeve,natural,acrylic,chiffon,null,striped,0
100895,Casual,Low,4.7,M,Spring,o-neck,full,natural,polyster,null,null,solid,1
100896,Sexy,Low,4.3,free,Summer,o-neck,full,empire,cotton,null,null,null,0
100897,Casual,Average,4.7,M,Summer,v-neck,full,empire,cotton,null,lace,solid,1
100898,Casual,Average,4.6,L,winter,boat-neck,sleevless,empire,silk,broadcloth,applique,print,1
100899,Casual,Low,4.4,free,Summer,v-neck,short,empire,cotton,Corduroy,lace,solid,0
